0001|Xin chào, hôm nay trời rất đẹp.
0002|Tôi đang học cách lập trình bằng ngôn ngữ Visual Basic.
0003|Bạn có thể giúp tôi việc này được không?
0004|Buổi sáng nay tôi dậy sớm để tập thể dục.
0005|Cô ấy thích ăn phở bò vào mỗi buổi sáng.
0006|Chiếc xe máy đó chạy rất êm và tiết kiệm xăng.
0007|Chúng tôi sẽ gặp nhau lúc bảy giờ tối nay.
0008|Con mèo nhỏ đang nằm ngủ trên ghế sofa.
0009|Đường phố Hà Nội buổi tối rất nhộn nhịp.
0010|Em gái tôi đang học lớp mười hai.
0011|Gia đình tôi có bốn người, sống ở Sài Gòn.
0012|Hôm qua trời mưa to suốt cả buổi chiều.
0013|Khi rảnh rỗi, tôi thường đọc sách hoặc xem phim.
0014|Không ai biết chuyện gì đã xảy ra tối hôm đó.
0015|Mọi người đều mong chờ kỳ nghỉ lễ sắp tới.
0016|Ngày mai chúng ta sẽ đi leo núi cùng nhau.
0017|Người thầy giáo ấy giảng bài rất dễ hiểu.
0018|Những bông hoa trong vườn nở rộ vào mùa xuân.
0019|Ông tôi năm nay đã tám mươi tuổi.
0020|Quán cà phê này có không gian rất yên tĩnh.
0021|Sau khi ăn tối, cả nhà cùng xem thời sự.
0022|Tôi vừa mua một chiếc laptop mới để làm việc.
0023|Trận bóng đá tối qua diễn ra rất kịch tính.
0024|Tuần trước tôi đã đi du lịch Đà Lạt.
0025|Vào mùa hè, thời tiết ở đây rất oi bức.
0026|Xe buýt sáng nay bị trễ gần nửa tiếng.
0027|Anh trai tôi làm việc trong một công ty phần mềm.
0028|Bà nội thường kể chuyện cổ tích cho tôi nghe.
0029|Các bạn học sinh đang chuẩn bị cho kỳ thi cuối kỳ.
0030|Chúng ta nên tiết kiệm điện và nước mỗi ngày.
0031|Con đường này dẫn thẳng đến trung tâm thành phố.
0032|Dì tôi mở một tiệm bánh nhỏ gần nhà.
0033|Để hoàn thành dự án, chúng tôi cần thêm thời gian.
0034|Gió thổi mạnh khiến những chiếc lá rơi đầy sân.
0035|Hai đứa trẻ đang chơi đùa vui vẻ trong công viên.
0036|Hồi nhỏ tôi rất thích đọc truyện tranh Nhật Bản.
0037|Khu chợ này bán đủ loại trái cây tươi ngon.
0038|Lần đầu tiên tôi thử món sushi là ở Tokyo.
0039|Mỗi sáng tôi đều uống một cốc cà phê đen.
0040|Một con thuyền nhỏ đang lướt nhẹ trên mặt hồ.
0041|Người dân trong làng sống chủ yếu bằng nghề nông.
0042|Những đám mây trắng trôi lững lờ trên bầu trời.
0043|Nhóm chúng tôi đang lên kế hoạch cho chuyến đi biển.
0044|Ông chủ quán rất thân thiện với khách hàng.
0045|Phòng làm việc của tôi nhìn ra một khu vườn nhỏ.
0046|Sách này viết về lịch sử của dân tộc Việt Nam.
0047|Sân bay quốc tế luôn đông đúc vào dịp lễ tết.
0048|Tòa nhà cao nhất thành phố nằm ở khu trung tâm.
0049|Trẻ em cần được ngủ đủ giấc để phát triển tốt.
0050|Tuyết rơi trắng xóa khắp các con đường ở đó.
0051|Việc học ngoại ngữ đòi hỏi sự kiên trì mỗi ngày.
0052|Vườn cây ăn trái của ông tôi rất rộng lớn.
0053|Xin lỗi, tôi đến trễ vì bị kẹt xe.
